id_municipio,sigla_uf,regiao,rede_descricao,alunos,indicador_previsto,indicador_real,meta_do_ano,taxa_ano_anterior,risco,gap_previsto_meta,sem_meta,risco_de_nao_atingir_meta,nome_municipio,sigla_uf_dim,perfil,nome_perfil
1200450,AC,Norte,Estadual,61,57.38,56.77,,,0.4262,,True,False,Senador Guiomard,AC,0,Atenção
1200450,AC,Norte,Municipal,32,54.91,42.6,,,0.4509000000000001,,True,False,Senador Guiomard,AC,0,Atenção
1200500,AC,Norte,Municipal,152,49.32,68.98,,,0.5067999999999999,,True,False,Sena Madureira,AC,0,Atenção
1200609,AC,Norte,Estadual,41,57.24,60.31,,,0.4276,,True,False,Tarauacá,AC,0,Atenção
1200609,AC,Norte,Municipal,166,49.34,45.14,,,0.5065999999999999,,True,False,Tarauacá,AC,0,Atenção
1200708,AC,Norte,Estadual,28,57.13,53.86,,,0.42869999999999997,,True,False,Xapuri,AC,0,Atenção
1200708,AC,Norte,Municipal,31,54.01,61.59,,,0.4599,,True,False,Xapuri,AC,0,Atenção
1200807,AC,Norte,Municipal,82,49.52,36.34,,,0.5047999999999999,,True,False,Porto Acre,AC,0,Atenção
1300029,AM,Norte,Estadual,30,57.49,75.99,,64.21,0.42510000000000003,,True,False,Alvarães,AM,0,Atenção
1300029,AM,Norte,Municipal,37,40.07,51.27,46.19,36.87,0.5992999999999999,-6.12,False,True,Alvarães,AM,2,Crítico
1300060,AM,Norte,Municipal,49,55.3,77.62,65.52,62.31,0.44700000000000006,-10.22,False,True,Amaturá,AM,0,Atenção
1300102,AM,Norte,Estadual,30,63.67,66.97,,68.42,0.36329999999999996,,True,False,Anori,AM,0,Atenção
1300102,AM,Norte,Municipal,58,67.71,75.66,76.6,75.8,0.3229000000000001,-8.89,False,True,Anori,AM,0,Atenção
1300144,AM,Norte,Estadual,32,62.62,80.69,,71.92,0.3738,,True,False,Apuí,AM,0,Atenção
1300144,AM,Norte,Municipal,48,53.62,49.93,60.64,57.39,0.4638,-7.02,False,True,Apuí,AM,0,Atenção
1300201,AM,Norte,Municipal,46,54.14,75.74,58.48,54.2,0.4586,-4.34,False,True,Atalaia do Norte,AM,0,Atenção
1300300,AM,Norte,Estadual,44,51.67,43.48,,51.31,0.48329999999999995,,True,False,Autazes,AM,0,Atenção
1300300,AM,Norte,Municipal,45,42.07,23.17,,44.49,0.5792999999999999,,True,False,Autazes,AM,0,Atenção
1300409,AM,Norte,Municipal,53,49.59,39.56,53.75,48.82,0.5041,-4.16,False,True,Barcelos,AM,0,Atenção
1300508,AM,Norte,Estadual,42,37.18,18.81,,34.08,0.6282,,True,False,Barreirinha,AM,2,Crítico
1300508,AM,Norte,Municipal,102,37.96,18.71,36.81,29.13,0.6204000000000001,1.15,False,False,Barreirinha,AM,2,Crítico
1300607,AM,Norte,Estadual,36,63.89,60.16,,69.55,0.3611,,True,False,Benjamin Constant,AM,0,Atenção
1300607,AM,Norte,Municipal,204,38.38,32.24,,44.0,0.6162,,True,False,Benjamin Constant,AM,2,Crítico
1300631,AM,Norte,Estadual,30,77.95,79.9,,87.96,0.22049999999999992,,True,False,Beruri,AM,1,Consolidado
1300631,AM,Norte,Municipal,37,71.39,78.33,,89.49,0.2861,,True,False,Beruri,AM,1,Consolidado
1300680,AM,Norte,Municipal,58,29.5,29.64,33.37,25.68,0.7050000000000001,-3.87,False,True,Boa Vista do Ramos,AM,2,Crítico
1300706,AM,Norte,Estadual,54,47.6,63.64,,49.62,0.524,,True,False,Boca do Acre,AM,0,Atenção
1300706,AM,Norte,Municipal,59,50.86,44.82,62.56,59.56,0.49140000000000006,-11.7,False,True,Boca do Acre,AM,0,Atenção
1300805,AM,Norte,Estadual,59,51.46,60.06,,51.28,0.48539999999999994,,True,False,Borba,AM,0,Atenção
1300805,AM,Norte,Municipal,43,35.49,22.7,35.51,27.88,0.6451,-0.02,False,True,Borba,AM,2,Crítico
1300839,AM,Norte,Municipal,25,33.49,15.91,,30.11,0.6651,,True,False,Caapiranga,AM,2,Crítico
1300904,AM,Norte,Municipal,39,52.4,72.93,,49.09,0.476,,True,False,Canutama,AM,0,Atenção
1301001,AM,Norte,Estadual,39,68.55,82.21,,74.34,0.3145,,True,False,Carauari,AM,0,Atenção
1301001,AM,Norte,Municipal,69,41.72,53.14,52.7,47.38,0.5828,-10.98,False,True,Carauari,AM,2,Crítico
1301100,AM,Norte,Estadual,30,55.23,54.38,,61.03,0.4477,,True,False,Careiro,AM,0,Atenção
1301100,AM,Norte,Municipal,33,24.84,20.83,,20.71,0.7516,,True,False,Careiro,AM,2,Crítico
1301159,AM,Norte,Municipal,31,32.35,22.24,44.52,37.5,0.6765,-12.17,False,True,Careiro da Várzea,AM,2,Crítico
1301209,AM,Norte,Estadual,152,53.27,45.88,,56.31,0.46729999999999994,,True,False,Coari,AM,0,Atenção
1301209,AM,Norte,Municipal,156,39.05,30.24,45.17,38.28,0.6095,-6.12,False,True,Coari,AM,2,Crítico
1301308,AM,Norte,Estadual,40,56.91,62.23,,60.64,0.43090000000000006,,True,False,Codajás,AM,0,Atenção
1301308,AM,Norte,Municipal,56,44.05,45.77,49.49,43.3,0.5595000000000001,-5.44,False,True,Codajás,AM,2,Crítico
1301407,AM,Norte,Estadual,83,47.22,52.77,,41.25,0.5278,,True,False,Eirunepé,AM,0,Atenção
1301407,AM,Norte,Municipal,54,30.35,15.78,,19.19,0.6965,,True,False,Eirunepé,AM,2,Crítico
1301506,AM,Norte,Estadual,26,74.31,84.5,,90.51,0.2569,,True,False,Envira,AM,1,Consolidado
1301506,AM,Norte,Municipal,49,47.28,18.86,,56.52,0.5272,,True,False,Envira,AM,0,Atenção
1301605,AM,Norte,Estadual,30,69.01,63.14,,72.9,0.30989999999999995,,True,False,Fonte Boa,AM,0,Atenção
1301605,AM,Norte,Municipal,55,33.91,29.59,,26.62,0.6609,,True,False,Fonte Boa,AM,2,Crítico
1301654,AM,Norte,Municipal,51,57.04,52.11,64.85,61.52,0.4296,-7.81,False,True,Guajará,AM,0,Atenção
1301704,AM,Norte,Estadual,25,52.46,52.17,,57.53,0.47540000000000004,,True,False,Humaitá,AM,0,Atenção
1301704,AM,Norte,Municipal,232,49.12,56.27,55.15,50.25,0.5088,-6.03,False,True,Humaitá,AM,0,Atenção
1301803,AM,Norte,Municipal,55,47.13,63.99,,41.96,0.5287,,True,False,Ipixuna,AM,0,Atenção
1301852,AM,Norte,Estadual,39,48.03,52.67,,50.49,0.5197,,True,False,Iranduba,AM,0,Atenção
1301852,AM,Norte,Municipal,235,41.83,38.86,50.85,44.71,0.5817,-9.02,False,True,Iranduba,AM,2,Crítico
1301902,AM,Norte,Estadual,85,77.62,71.72,,82.64,0.2238,,True,False,Itacoatiara,AM,1,Consolidado
1301902,AM,Norte,Municipal,304,47.18,45.96,51.78,46.31,0.5282,-4.6,False,True,Itacoatiara,AM,2,Crítico
1301951,AM,Norte,Municipal,37,68.26,76.14,72.11,70.62,0.3173999999999999,-3.85,False,True,Itamarati,AM,0,Atenção
1302108,AM,Norte,Municipal,21,71.81,84.66,77.7,75.46,0.28189999999999993,-5.89,False,True,Japurá,AM,1,Consolidado
1302207,AM,Norte,Estadual,28,56.89,41.89,,56.11,0.43110000000000004,,True,False,Juruá,AM,0,Atenção
1302306,AM,Norte,Estadual,25,54.82,56.9,,57.14,0.4518,,True,False,Jutaí,AM,0,Atenção
1302306,AM,Norte,Municipal,93,37.35,31.45,43.26,36.27,0.6265000000000001,-5.91,False,True,Jutaí,AM,2,Crítico
1302405,AM,Norte,Estadual,41,68.54,75.09,,72.21,0.3146,,True,False,Lábrea,AM,0,Atenção
1302405,AM,Norte,Municipal,101,56.3,61.58,66.9,64.36,0.43700000000000006,-10.6,False,True,Lábrea,AM,0,Atenção
1302504,AM,Norte,Estadual,81,63.99,36.37,,66.51,0.3601,,True,False,Manacapuru,AM,0,Atenção
1302504,AM,Norte,Municipal,332,44.6,36.15,49.77,43.94,0.554,-5.17,False,True,Manacapuru,AM,2,Crítico
1302553,AM,Norte,Municipal,69,49.37,25.35,52.37,47.79,0.5063,-3.0,False,True,Manaquiri,AM,0,Atenção
1302603,AM,Norte,Estadual,1467,57.72,55.49,,62.98,0.42280000000000006,,True,False,Manaus,AM,0,Atenção
1302603,AM,Norte,Municipal,6052,49.19,50.58,56.8,52.2,0.5081,-7.61,False,True,Manaus,AM,0,Atenção
1302702,AM,Norte,Estadual,76,61.97,63.78,,64.12,0.38029999999999997,,True,False,Manicoré,AM,0,Atenção
1302702,AM,Norte,Municipal,110,49.92,44.64,56.43,52.29,0.5007999999999999,-6.51,False,True,Manicoré,AM,0,Atenção
1302801,AM,Norte,Estadual,26,34.01,55.59,,21.11,0.6599,,True,False,Maraã,AM,2,Crítico
1302801,AM,Norte,Municipal,28,28.55,46.55,28.09,20.95,0.7144999999999999,0.46,False,False,Maraã,AM,2,Crítico
1302900,AM,Norte,Estadual,71,58.22,64.25,,68.75,0.41780000000000006,,True,False,Maués,AM,0,Atenção
1302900,AM,Norte,Municipal,109,48.35,41.26,57.61,53.17,0.5165,-9.26,False,True,Maués,AM,0,Atenção
1303007,AM,Norte,Municipal,22,58.01,54.34,67.18,64.42,0.41990000000000005,-9.17,False,True,Nhamundá,AM,0,Atenção
1303106,AM,Norte,Estadual,39,44.09,53.92,,52.88,0.5590999999999999,,True,False,Nova Olinda do Norte,AM,0,Atenção
1303106,AM,Norte,Municipal,71,49.93,32.31,56.11,51.58,0.5006999999999999,-6.18,False,True,Nova Olinda do Norte,AM,0,Atenção
1303205,AM,Norte,Municipal,65,75.84,52.66,76.5,76.18,0.24159999999999993,-0.66,False,True,Novo Airão,AM,1,Consolidado
1303304,AM,Norte,Estadual,41,69.37,63.41,,72.32,0.3062999999999999,,True,False,Novo Aripuanã,AM,0,Atenção
1303304,AM,Norte,Municipal,37,67.77,56.57,80.0,83.98,0.32230000000000003,-12.23,False,True,Novo Aripuanã,AM,1,Consolidado
1303403,AM,Norte,Estadual,189,75.35,81.24,,77.24,0.24650000000000005,,True,False,Parintins,AM,1,Consolidado
1303403,AM,Norte,Municipal,258,49.43,51.32,56.53,51.79,0.5057,-7.1,False,True,Parintins,AM,0,Atenção
1303502,AM,Norte,Municipal,74,38.49,48.0,45.33,38.95,0.6151,-6.84,False,True,Pauini,AM,2,Crítico
1303536,AM,Norte,Municipal,123,31.89,35.28,41.0,33.92,0.6811,-9.11,False,True,Presidente Figueiredo,AM,2,Crítico
1303569,AM,Norte,Municipal,134,35.59,49.53,42.05,35.38,0.6440999999999999,-6.46,False,True,Rio Preto da Eva,AM,2,Crítico
1303601,AM,Norte,Estadual,21,43.53,33.33,,33.66,0.5647,,True,False,Santa Isabel do Rio Negro,AM,2,Crítico
1303601,AM,Norte,Municipal,25,35.49,19.41,33.91,26.71,0.6451,1.58,False,False,Santa Isabel do Rio Negro,AM,2,Crítico
1303700,AM,Norte,Municipal,150,48.94,41.39,63.05,58.83,0.5105999999999999,-14.11,False,True,Santo Antônio do Içá,AM,0,Atenção
1303809,AM,Norte,Estadual,110,52.4,55.41,,57.21,0.476,,True,False,São Gabriel da Cachoeira,AM,0,Atenção
1303809,AM,Norte,Municipal,122,34.27,32.91,43.12,36.43,0.6573,-8.85,False,True,São Gabriel da Cachoeira,AM,2,Crítico
1303908,AM,Norte,Estadual,51,56.9,55.26,,62.1,0.43100000000000005,,True,False,São Paulo de Olivença,AM,0,Atenção
1303908,AM,Norte,Municipal,205,38.27,28.57,40.03,33.05,0.6173,-1.76,False,True,São Paulo de Olivença,AM,2,Crítico
1303957,AM,Norte,Municipal,31,47.96,35.23,56.43,51.91,0.5204,-8.47,False,True,São Sebastião do Uatumã,AM,0,Atenção
1304005,AM,Norte,Municipal,51,52.63,34.85,,52.54,0.4737,,True,False,Silves,AM,0,Atenção
1304062,AM,Norte,Estadual,70,51.98,53.23,,58.02,0.48020000000000007,,True,False,Tabatinga,AM,0,Atenção
1304062,AM,Norte,Municipal,321,38.73,37.05,47.62,41.36,0.6127,-8.89,False,True,Tabatinga,AM,2,Crítico
1304104,AM,Norte,Estadual,20,52.94,48.51,,50.82,0.4706,,True,False,Tapauá,AM,0,Atenção
1304104,AM,Norte,Municipal,54,52.13,52.78,54.31,48.85,0.4787,-2.18,False,True,Tapauá,AM,0,Atenção
1304203,AM,Norte,Estadual,149,53.72,54.11,,60.83,0.4628,,True,False,Tefé,AM,0,Atenção
1304203,AM,Norte,Municipal,236,34.04,36.54,,40.05,0.6596,,True,False,Tefé,AM,2,Crítico
1304237,AM,Norte,Municipal,92,47.1,30.68,51.45,46.25,0.5289999999999999,-4.35,False,True,Tonantins,AM,2,Crítico
1304260,AM,Norte,Municipal,46,33.65,19.01,19.75,13.41,0.6635,13.9,False,False,Uarini,AM,2,Crítico
1304302,AM,Norte,Municipal,49,50.57,75.67,60.83,57.02,0.49429999999999996,-10.26,False,True,Urucará,AM,0,Atenção
1304401,AM,Norte,Municipal,79,40.76,40.98,,45.75,0.5924,,True,False,Urucurituba,AM,0,Atenção
1500107,PA,Norte,Municipal,405,40.84,40.12,46.03,39.69,0.5915999999999999,-5.19,False,True,Abaetetuba,PA,2,Crítico
1500131,PA,Norte,Municipal,31,57.15,51.92,63.15,59.81,0.4285,-6.0,False,True,Abel Figueiredo,PA,0,Atenção
1500206,PA,Norte,Municipal,163,41.82,43.62,45.4,38.95,0.5818,-3.58,False,True,Acará,PA,2,Crítico
1500305,PA,Norte,Municipal,210,31.91,42.62,37.86,30.82,0.6809000000000001,-5.95,False,True,Afuá,PA,2,Crítico
1500347,PA,Norte,Municipal,56,40.66,45.75,34.94,27.83,0.5934,5.72,False,False,Água Azul do Norte,PA,2,Crítico
1500404,PA,Norte,Municipal,235,39.29,30.04,43.05,36.38,0.6071,-3.76,False,True,Alenquer,PA,2,Crítico
1500503,PA,Norte,Municipal,119,40.19,35.64,37.74,30.66,0.5981000000000001,2.45,False,False,Almeirim,PA,2,Crítico
1500602,PA,Norte,Municipal,520,48.35,48.51,52.09,46.67,0.5165,-3.74,False,True,Altamira,PA,2,Crítico
1500701,PA,Norte,Municipal,92,29.3,45.47,34.01,26.79,0.7070000000000001,-4.71,False,True,Anajás,PA,2,Crítico
1500800,PA,Norte,Estadual,330,55.1,55.56,,55.8,0.44899999999999995,,True,False,Ananindeua,PA,0,Atenção
1500800,PA,Norte,Municipal,949,53.53,54.71,62.51,59.04,0.4647,-8.98,False,True,Ananindeua,PA,0,Atenção
1500859,PA,Norte,Municipal,107,52.0,45.09,53.88,48.77,0.48,-1.88,False,True,Anapu,PA,0,Atenção
1500909,PA,Norte,Municipal,159,38.82,39.54,44.99,38.58,0.6118,-6.17,False,True,Augusto Corrêa,PA,2,Crítico
1500958,PA,Norte,Municipal,73,36.1,61.19,40.81,33.96,0.639,-4.71,False,True,Aurora do Pará,PA,2,Crítico
1501006,PA,Norte,Municipal,29,54.02,66.26,61.01,57.19,0.4598,-6.99,False,True,Aveiro,PA,0,Atenção
1501105,PA,Norte,Municipal,95,45.25,53.67,52.12,46.7,0.5475,-6.87,False,True,Bagre,PA,2,Crítico
1501204,PA,Norte,Municipal,85,32.9,34.11,34.71,27.54,0.671,-1.81,False,True,Baião,PA,2,Crítico
1501303,PA,Norte,Municipal,453,43.99,38.68,51.99,46.55,0.5601,-8.0,False,True,Barcarena,PA,2,Crítico
1501402,PA,Norte,Estadual,1476,54.9,57.64,,57.8,0.45100000000000007,,True,False,Belém,PA,0,Atenção
1501402,PA,Norte,Municipal,1336,49.13,46.16,53.42,48.22,0.5086999999999999,-4.29,False,True,Belém,PA,0,Atenção
1501451,PA,Norte,Municipal,64,57.08,52.67,63.83,60.59,0.4292,-6.75,False,True,Belterra,PA,0,Atenção
1501501,PA,Norte,Municipal,348,59.21,65.8,63.8,60.58,0.40790000000000004,-4.59,False,True,Benevides,PA,0,Atenção
